date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-04-10,69.65,72.43,70.99,69.38,766249.62,1.35,1.94,69.77,69.588,69.883,507323.64,510198.43,706410.9,0.71
2020-04-13,70.45,70.79,70.13,70.0,355169.88,-0.86,-1.21,70.024,69.629,69.654,494306.79,485406.99,665861.52,0.33
2020-04-14,70.68,71.17,71.02,70.25,429696.78,0.89,1.27,70.234,69.816,69.605,456376.62,481581.07,638387.69,0.4
2020-04-15,71.07,71.38,70.85,70.65,381515.22,-0.17,-0.24,70.526,69.984,69.541,460187.93,477195.81,609917.31,0.35
2020-04-16,70.5,70.71,70.38,70.16,282942.59,-0.47,-0.66,70.674,70.09,69.566,443114.82,449797.2,581455.38,0.26
2020-04-17,71.1,73.32,72.4,70.79,903679.5,2.02,2.87,70.956,70.363,69.796,470600.79,488962.22,564801.32,0.83
2020-04-20,72.89,73.8,73.5,72.1,654194.0,1.1,1.52,71.63,70.827,70.021,530405.62,512356.2,553147.55,0.6
2020-04-21,73.05,73.48,72.37,71.51,568984.31,-1.13,-1.54,71.9,71.067,70.301,558263.12,507319.87,547392.79,0.53
2020-04-22,72.0,72.07,72.07,71.48,377673.16,-0.3,-0.41,72.144,71.335,70.457,557494.71,508841.32,526694.78,0.35
2020-04-23,72.39,72.8,72.16,71.82,329666.12,0.09,0.12,72.5,71.587,70.548,566839.42,504977.12,496768.78,0.3
2020-04-24,71.03,71.03,70.5,70.3,667116.19,-1.66,-2.3,72.12,71.538,70.563,519526.76,495063.78,502631.1,0.62
2020-04-27,70.62,71.61,71.2,70.62,481527.84,0.7,0.99,71.66,71.645,70.637,484993.52,507699.57,496553.28,0.44
2020-04-28,71.5,72.68,72.38,70.97,613874.25,1.18,1.66,71.662,71.781,70.799,493971.51,526117.32,503849.2,0.57
2020-04-29,72.38,74.2,74.0,72.38,531156.38,1.62,2.24,72.048,72.096,71.04,524668.16,541081.43,509138.62,0.49
2020-04-30,74.46,75.3,74.46,74.21,486254.72,0.46,0.62,72.508,72.504,71.297,555985.88,561412.65,505604.92,0.45
2020-05-06,73.3,73.98,73.81,72.9,629167.88,-0.65,-0.87,73.17,72.645,71.504,548396.21,533961.49,511461.85,0.58
2020-05-07,73.7,73.7,73.23,72.81,403122.88,-0.58,-0.79,73.576,72.618,71.723,532715.22,508854.37,510605.29,0.37
2020-05-08,72.8,73.29,72.97,72.06,404719.59,1.03,1.43,73.694,72.678,71.873,490884.29,492427.9,499873.89,0.37
2020-05-11,73.11,74.8,73.9,73.11,495757.31,0.93,1.27,73.674,72.861,72.098,483804.48,504236.32,506538.82,0.46
2020-05-12,73.9,74.33,73.93,73.47,415450.38,0.03,0.04,73.568,73.038,72.313,469643.61,512814.74,508895.93,0.38
2020-05-13,73.6,73.93,73.34,72.65,288970.34,-0.59,-0.8,73.474,73.322,72.43,401604.1,475000.16,485031.97,0.27
2020-05-14,73.0,73.0,72.23,72.17,349715.12,-1.11,-1.51,73.274,73.425,72.535,390922.55,461818.89,484759.23,0.32
2020-05-15,72.61,73.1,72.23,72.18,317507.31,0.0,0.0,73.126,73.41,72.596,373480.09,432182.19,479149.75,0.29
2020-05-18,72.2,72.98,72.2,71.69,308462.66,-0.03,-0.04,72.786,73.23,72.663,336021.16,409912.82,475497.13,0.28
